隐情不敢实告妻,0,隐情不敢实告妻。
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8083194.217484165,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8110211.4217980802,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8129414.7722572125,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8133328.8939391403,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8155415.3216165667,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8161959.3526761243,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8168455.6932586469,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8180605.80834301,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8185961.3091071853,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8190071.319727391,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8224230.2181469239,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8235445.516471725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8237565.9865353256,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8237565.9865353256,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8248537.9681393821,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8255466.3590308037,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8278773.428766123,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8283100.2496505622,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8303200.7788443863,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8328313.6534323376,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8342315.6351315212,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8342315.6351315212,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,8353100.2311235415,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,8353100.2311235415,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8355324.0953573016,0.0
